"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"334","Nathan MacKinnon","COL","C","71","1189.7333333333","25","40","30","10","65","80.25"
"76","Erik Karlsson","S.J","D","82","1667.8","16","48","29","19","64","66.67"
"384","David Pastrnak","BOS","R","82","1185.8333333333","34","27","14","13","61","83.56"
"397","Brayden Point","T.B","C","82","1203.25","29","30","16","14","59","79.73"
"438","Connor McDavid","EDM","C","82","1308.2666666667","32","27","20","7","59","78.67"
"519","Matthew Tkachuk","FLA","L","79","1120.9333333333","22","36","22","14","58","65.17"
"159","Jeff Skinner","BUF","L","79","1071.8833333333","25","31","19","12","56","70.00"
"637","Elias Pettersson","VAN","C","80","1100.6","21","35","20","15","56","86.15"
"644","Jason Robertson","DAL","L","82","1186.4833333333","26","30","19","11","56","78.87"
"812","Jack Hughes","N.J","C","78","1201.7666666667","28","28","18","10","56","78.87"
"17","Sidney Crosby","PIT","C","82","1240.9166666667","22","33","19","14","55","82.09"
"574","Tage Thompson","BUF","C, R","78","1066.8166666667","25","30","20","10","55","80.88"
"447","Mikko Rantanen","COL","R","82","1357.7333333333","32","21","14","7","53","70.67"
"478","Mitchell Marner","TOR","R","80","1143.8833333333","15","38","28","10","53","82.81"
"537","Clayton Keller","ARI","R","82","1290.8333333333","24","29","23","6","53","81.54"
"309","Carter Verhaeghe","FLA","C","81","1148.1833333333","28","24","11","13","52","76.47"
"522","Auston Matthews","TOR","C","74","1145.7833333333","26","26","19","7","52","69.33"
"207","Nikita Kucherov","T.B","R","82","1226.7666666667","15","36","20","16","51","70.83"
"367","Leon Draisaitl","EDM","C","80","1269.7166666667","17","34","29","5","51","68.92"
"491","Artemi Panarin","NYR","L","82","1224.2","19","31","19","12","50","79.37"
"370","William Nylander","TOR","R","82","1124.75","22","27","13","14","49","76.56"
"947","Andrei Kuzmenko","VAN","L","81","1023.7333333333","21","28","11","17","49","76.56"
"149","Brock Nelson","NYI","C","82","1128.8333333333","24","24","14","10","48","67.61"
"160","Zach Hyman","EDM","L","79","1216.05","15","33","20","13","48","60.76"
"378","Alex Tuch","BUF","R","74","999.3","21","27","19","8","48","72.73"
"383","Jared McCann","SEA","L","79","968.98333333333","30","18","14","4","48","71.64"
"19","Anze Kopitar","L.A","C","82","1166.9333333333","17","29","16","13","46","76.67"
"874","Tim Stützle","OTT","L","78","1157.55","20","26","15","11","46","74.19"
"631","Nico Hischier","N.J","C","81","1067.5333333333","14","31","21","10","45","73.77"
"714","Brady Tkachuk","OTT","L","82","1105.7166666667","20","25","15","10","45","75.00"
"11","Evgeni Malkin","PIT","C","82","1123.8","15","29","20","9","44","83.02"
"77","Jordan Eberle","SEA","R","82","1105.75","16","28","21","7","44","66.67"
"258","Chandler Stephenson","VGK","C","81","1128.7166666667","7","37","22","15","44","74.58"
"437","Pavel Zacha","BOS","C","82","1022.8666666667","15","28","12","16","43","66.15"
"461","Roope Hintz","DAL","C","73","929.48333333333","21","22","16","6","43","74.14"
"570","Jesper Bratt","N.J","L","82","1110.9166666667","20","23","14","9","43","68.25"
"37","Claude Giroux","OTT","R","82","1138.7333333333","23","19","14","5","42","73.68"
"434","Kyle Connor","WPG","L","82","1246.7","20","22","14","8","42","70.00"
"440","Vince Dunn","SEA","D","81","1551.5833333333","13","29","12","17","42","40.78"
"561","Jordan Kyrou","STL","C","79","1118.7","22","20","12","8","42","75.00"
"43","Alex Killorn","T.B","L","82","1023.55","19","22","11","11","41","70.69"
"44","Jamie Benn","DAL","L","82","909.55","17","24","11","13","41","69.49"
"70","Steven Stamkos","T.B","C","81","1113.25","16","25","16","9","41","65.08"
"106","Brayden Schenn","STL","C","82","1155.8166666667","12","29","16","13","41","80.39"
"504","Troy Terry","ANA","R","70","1073.3166666667","13","28","16","12","41","75.93"
"640","Nick Suzuki","MTL","C","82","1213.5166666667","14","27","15","12","41","64.06"
"801","Trevor Zegras","ANA","C","81","1217.8666666667","16","25","18","7","41","71.93"
"8","Joe Pavelski","DAL","C","82","1111.45","12","28","17","11","40","56.34"
"10","Alex Ovechkin","WSH","L","73","1041.0833333333","20","20","11","9","40","75.47"
"14","David Krejci","BOS","C","70","941.06666666667","12","28","19","9","40","68.97"
"142","Tyler Toffoli","CGY","R","82","996.06666666667","19","21","8","13","40","68.97"
"189","Vincent Trocheck","NYR","C","82","1205.5666666667","10","30","21","9","40","72.73"
"212","Mika Zibanejad","NYR","C","82","1093.9","16","24","17","7","40","78.43"
"345","Josh Morrissey","WPG","D","78","1473.35","12","28","19","9","40","53.33"
"914","Matty Beniers","SEA","C","80","1086.8","17","23","12","11","40","63.49"
"186","Johnny Gaudreau","CBJ","L","80","1204.6666666667","13","26","15","11","39","72.22"
"208","Ryan Nugent-Hopkins","EDM","C","82","1093.2333333333","16","23","11","12","39","61.90"
"213","Mark Scheifele","WPG","C","81","1261.2333333333","25","14","7","7","39","69.64"
"373","Kevin Fiala","L.A","L","69","940.51666666667","9","30","19","11","39","76.47"
"439","Jack Eichel","VGK","C","67","956.16666666667","20","19","10","9","39","69.64"
"456","Dylan Strome","WSH","C","81","1036.4833333333","17","22","11","11","39","69.64"
"629","Casey Mittelstadt","BUF","C","82","1035.65","9","30","21","9","39","72.22"
"799","Dylan Cozens","BUF","C","81","949.18333333333","21","18","13","5","39","76.47"
